id,name,batch,sec,time,we,password,ewf,arul
2,123,123,123,123,123,123,123,w
3,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
4,123,123,123,123,s,s,123,w
